origin_zip3,destination_zip3,trailer_type,carrier_type,avg_rate,min_rate,max_rate,count
336,331,Flatbed,Asset,4.4350000000000005,2.27,6.965,2
336,331,Flatbed,Broker,3.8249999999999997,1.8,6.720000000000001,2
336,331,Reefer,Asset,4.165,2.81,6.12,2
336,331,Reefer,Broker,3.51,2.6399999999999997,4.76,2
336,331,Van,Asset,3.535,2.23,5.029999999999999,2
336,331,Van,Broker,2.62,1.94,3.3099999999999996,2
372,303,Flatbed,Asset,3.245,2.8200000000000003,4.17,2
372,303,Flatbed,Broker,3.3,2.4699999999999998,4.71,2
372,303,Reefer,Asset,4.140000000000001,3.245,5.02,2
372,303,Reefer,Broker,4.359999999999999,3.04,7.38,2
372,303,Van,Asset,3.49,1.98,5.445,2
372,303,Van,Broker,3.5999999999999996,2.45,5.88,2
381,303,Flatbed,Asset,3.33,2.64,4.1,2
381,303,Flatbed,Broker,2.9400000000000004,2.46,3.74,2
381,303,Reefer,Asset,3.77,2.5700000000000003,5.325,2
381,303,Reefer,Broker,4.015000000000001,2.9000000000000004,4.68,2
381,303,Van,Asset,2.96,2.2199999999999998,3.705,2
381,303,Van,Broker,3.0250000000000004,1.93,4.3,2
381,606,Flatbed,Asset,3.455,2.5300000000000002,5.1899999999999995,2
381,606,Flatbed,Broker,2.83,2.3200000000000003,3.09,2
381,606,Reefer,Asset,2.665,1.905,3.9050000000000002,2
381,606,Reefer,Broker,3.0549999999999997,2.0300000000000002,4.16,2
381,606,Van,Asset,2.2800000000000002,1.49,2.795,2
381,606,Van,Broker,1.96,1.25,2.59,2
432,303,Flatbed,Asset,2.79,2.17,3.16,2
432,303,Flatbed,Broker,2.5300000000000002,2.01,3.33,2
432,303,Reefer,Asset,3.125,2.39,3.5149999999999997,2
432,303,Reefer,Broker,4.09,3.0599999999999996,5.4,2
432,303,Van,Asset,2.465,1.84,3.4299999999999997,2
432,303,Van,Broker,3.08,1.43,4.29,2
441,606,Flatbed,Asset,2.925,2.43,3.8600000000000003,2
441,606,Flatbed,Broker,2.79,2.2,3.75,2
441,606,Reefer,Asset,1.955,1.32,2.425,2
441,606,Reefer,Broker,1.8849999999999998,1.605,3.14,2
441,606,Van,Asset,4.140000000000001,1.63,4.83,2
441,606,Van,Broker,2.37,0.765,6.27,2
462,606,Flatbed,Asset,3.51,2.465,6.735,2
462,606,Flatbed,Broker,5.46,2.21,8.21,2
462,606,Reefer,Asset,4.87,2.885,7.105,2
